,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
5,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_3,0.0,0.7948717948717948
6,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_4,1.0,0.2564102564102564
7,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_5,0.0,0.6923076923076923
8,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_6,1.0,0.0
9,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_7,0.0,1.0
10,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_8,1.0,0.28205128205128205
11,Clonidine,50,0.8646153846153848,0.3547008547008547,0.6848290598290598,0.5683760683760684,0.7083333333333334,0.5,9_9,0.0,0.7948717948717948
0,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_1,1.0,1.0
1,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_10,1.0,0.8717948717948718
2,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_11,1.0,1.0
3,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_12,0.0,0.717948717948718
4,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_2,0.0,0.9487179487179487
5,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_3,1.0,1.0
